name,gene,b_terrestris_B_100,b_terrestris_B_246,b_terrestris_B_36,b_terrestris_B_39,b_terrestris_B_415,b_terrestris_B_9,b_terrestris_G_87
LOC100643872,LOC100643872,20,29,32,34,32,48,20
LOC100644082,LOC100644082,12,6,139,3,18,438,6
LOC100644198,LOC100644198,87,82,99,52,76,119,95
LOC100644386,LOC100644386,11,17,11,18,15,14,8
LOC100644507,LOC100644507,102,106,207,240,98,194,85
LOC100644989,LOC100644989,26,14,58,38,26,83,49
LOC125385224,LOC125385224,0,0,0,0,0,0,0
LOC100644627,LOC100644627,2053,3170,1347,724,3431,1033,407
LOC100645357,LOC100645357,53,112,107,101,84,112,95
LOC100645228,LOC100645228,218,357,246,121,371,1097,1674
LOC100645547,LOC100645547,184,187,64,53,186,360,254
LOC105666875,LOC105666875,22,27,36,57,30,52,89
LOC100645782,LOC100645782,23,34,65,64,25,53,19
LOC100643145,LOC100643145,43,52,26,0,27,52,2
LOC125385225,LOC125385225,0,4,0,0,2,0,0
LOC100650021,LOC100650021,3,0,0,0,0,2,4
LOC100643268,LOC100643268,12,6,4,6,14,6,2
LOC100650263,LOC100650263,5,2,34,0,4,42,0
LOC100650386,LOC100650386,0,4,2,0,2,0,0
LOC100643391,LOC100643391,48,81,85,14,46,5,10
LOC100650509,LOC100650509,100,70,0,0,140,0,0
LOC100643512,LOC100643512,9005,7597,147,122,9801,224,45
LOC125385222,LOC125385222,10,8,0,0,12,0,0
LOC100643871,LOC100643871,62113,10513,8,4,9875,2,0
LOC100644113,LOC100644113,105,93,132,66,94,234,133
LOC100643750,LOC100643750,101,100,55,60,105,40,112
LOC100643637,LOC100643637,59,69,7,22,58,45,8
LOC100643995,LOC100643995,0,6,9,18,6,82,0
LOC100644234,LOC100644234,22,18,18,16,26,33,33
LOC110120176,LOC110120176,0,0,0,0,1,0,1
LOC100644425,LOC100644425,22,28,26,13,24,20,19
LOC100644787,LOC100644787,745,846,282,244,845,648,193
LOC125385221,LOC125385221,0,2,0,0,0,0,2
LOC125385220,LOC125385220,3,3,0,0,5,1,0
LOC100650869,LOC100650869,86,163,315,322,158,331,2
LOC125385302,LOC125385302,12,39,211,306,52,159,240
LOC100645107,LOC100645107,294,804,4113,4274,1103,2603,3159
LOC100645661,LOC100645661,50,54,37,44,42,72,62
LOC100645546,LOC100645546,74,80,108,52,85,190,92
LOC100645428,LOC100645428,36,58,62,91,76,66,31
LOC125385301,LOC125385301,0,1,0,0,0,1,9
LOC100645856,LOC100645856,67,50,47,20,76,29,191
LOC105666877,LOC105666877,69,58,34,25,77,70,44
LOC100646087,LOC100646087,75,81,27,17,118,17,51
LOC100645305,LOC100645305,82,59,59,42,70,60,64
